participant,task,trial,choice,correct_choice,reward,block,condition,category,object,all_features,feature1,feature2,feature3
0,0,0,j,j,1.0,0,1,1,Big Black Square,"[1, 1, 1]",1,1,1
0,0,1,j,f,-1.0,0,1,0,Small Black Triangle,"[0, 1, 0]",0,1,0
0,0,2,f,j,-1.0,0,1,1,Big White Triangle,"[1, 0, 0]",1,0,0
0,0,3,f,f,1.0,0,1,0,Small White Triangle,"[0, 0, 0]",0,0,0
0,0,4,f,f,1.0,0,1,0,Small White Square,"[0, 0, 1]",0,0,1
0,0,5,j,f,-1.0,0,1,0,Small Black Square,"[0, 1, 1]",0,1,1
0,0,6,f,j,-1.0,0,1,1,Big White Square,"[1, 0, 1]",1,0,1
0,0,7,f,j,-1.0,0,1,1,Big Black Triangle,"[1, 1, 0]",1,1,0
0,0,8,f,j,-1.0,0,1,1,Big White Square,"[1, 0, 1]",1,0,1
0,0,9,f,j,-1.0,0,1,1,Big Black Square,"[1, 1, 1]",1,1,1
0,0,10,j,f,-1.0,0,1,0,Small White Triangle,"[0, 0, 0]",0,0,0
0,0,11,j,f,-1.0,0,1,0,Small Black Triangle,"[0, 1, 0]",0,1,0
0,0,12,f,j,-1.0,0,1,1,Big White Triangle,"[1, 0, 0]",1,0,0
0,0,13,j,f,-1.0,0,1,0,Small White Square,"[0, 0, 1]",0,0,1
0,0,14,j,f,-1.0,0,1,0,Small Black Square,"[0, 1, 1]",0,1,1
0,0,15,f,j,-1.0,0,1,1,Big Black Triangle,"[1, 1, 0]",1,1,0
0,0,16,f,f,1.0,0,1,0,Small White Square,"[0, 0, 1]",0,0,1
0,0,17,f,f,1.0,0,1,0,Small Black Square,"[0, 1, 1]",0,1,1
0,0,18,j,j,1.0,0,1,1,Big White Triangle,"[1, 0, 0]",1,0,0
0,0,19,j,f,-1.0,0,1,0,Small Black Triangle,"[0, 1, 0]",0,1,0
0,0,20,f,f,1.0,0,1,0,Small White Triangle,"[0, 0, 0]",0,0,0
0,0,21,j,j,1.0,0,1,1,Big White Square,"[1, 0, 1]",1,0,1
0,0,22,f,j,-1.0,0,1,1,Big Black Triangle,"[1, 1, 0]",1,1,0
0,0,23,f,j,-1.0,0,1,1,Big Black Square,"[1, 1, 1]",1,1,1
0,0,24,f,f,1.0,0,1,0,Small Black Triangle,"[0, 1, 0]",0,1,0
0,0,25,j,f,-1.0,0,1,0,Small White Square,"[0, 0, 1]",0,0,1
0,0,26,f,f,1.0,0,1,0,Small Black Square,"[0, 1, 1]",0,1,1
0,0,27,j,j,1.0,0,1,1,Big Black Square,"[1, 1, 1]",1,1,1
0,0,28,j,j,1.0,0,1,1,Big White Square,"[1, 0, 1]",1,0,1
0,0,29,j,j,1.0,0,1,1,Big White Triangle,"[1, 0, 0]",1,0,0
