run,task,trial,task_feature,choice,correct_choice,category,all_features,stimulus_id,feature1,feature2,feature3,feature4,feature5,feature6,prototype_feature1,prototype_feature2,prototype_feature3,prototype_feature4,prototype_feature5,prototype_feature6
0,0,0,nonlinear,0,0,1,[0. 0. 0. 0. 0. 1.],5,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0
0,0,1,nonlinear,1,1,2,[1. 1. 1. 1. 1. 1.],7,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1
0,0,2,nonlinear,1,0,1,[1. 1. 1. 1. 0. 1.],6,1.0,1.0,1.0,1.0,0.0,1.0,0,0,0,0,0,0
0,0,3,nonlinear,0,1,2,[0. 1. 1. 1. 1. 1.],8,0.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1
0,0,4,nonlinear,0,1,2,[0. 0. 0. 1. 0. 0.],13,0.0,0.0,0.0,1.0,0.0,0.0,1,1,1,1,1,1
0,0,5,nonlinear,1,1,2,[1. 1. 1. 1. 1. 1.],7,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1
0,0,6,nonlinear,1,0,1,[0. 0. 0. 0. 0. 1.],5,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0
0,0,7,nonlinear,1,1,2,[0. 1. 1. 1. 1. 1.],8,0.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1
0,0,8,nonlinear,0,0,1,[0. 0. 0. 0. 0. 0.],0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
0,0,9,nonlinear,0,0,1,[0. 0. 1. 0. 0. 0.],3,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0
0,0,10,nonlinear,1,1,2,[0. 0. 0. 1. 0. 0.],13,0.0,0.0,0.0,1.0,0.0,0.0,1,1,1,1,1,1
0,0,11,nonlinear,1,1,2,[1. 1. 1. 1. 1. 0.],12,1.0,1.0,1.0,1.0,1.0,0.0,1,1,1,1,1,1
0,0,12,nonlinear,1,0,1,[0. 0. 0. 0. 0. 1.],5,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0
0,0,13,nonlinear,0,0,1,[1. 1. 1. 1. 0. 1.],6,1.0,1.0,1.0,1.0,0.0,1.0,0,0,0,0,0,0
0,0,14,nonlinear,0,0,1,[0. 0. 0. 0. 0. 0.],0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
0,0,15,nonlinear,0,0,1,[0. 0. 0. 0. 0. 0.],0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
0,0,16,nonlinear,0,1,2,[1. 1. 0. 1. 1. 1.],10,1.0,1.0,0.0,1.0,1.0,1.0,1,1,1,1,1,1
0,0,17,nonlinear,1,1,2,[1. 1. 1. 1. 1. 1.],7,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1
0,0,18,nonlinear,0,0,1,[0. 0. 0. 0. 0. 1.],5,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0
0,0,19,nonlinear,0,0,1,[0. 1. 0. 0. 0. 0.],2,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
0,0,20,nonlinear,0,0,1,[0. 0. 1. 0. 0. 0.],3,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0
0,0,21,nonlinear,1,1,2,[0. 0. 0. 1. 0. 0.],13,0.0,0.0,0.0,1.0,0.0,0.0,1,1,1,1,1,1
0,0,22,nonlinear,1,1,2,[1. 1. 1. 1. 1. 1.],7,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1
0,0,23,nonlinear,1,1,2,[1. 1. 1. 1. 1. 0.],12,1.0,1.0,1.0,1.0,1.0,0.0,1,1,1,1,1,1
0,0,24,nonlinear,1,0,1,[0. 0. 0. 0. 1. 0.],4,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0
0,0,25,nonlinear,1,1,2,[1. 1. 0. 1. 1. 1.],10,1.0,1.0,0.0,1.0,1.0,1.0,1,1,1,1,1,1
0,0,26,nonlinear,0,0,1,[0. 1. 0. 0. 0. 0.],2,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
0,0,27,nonlinear,0,1,2,[0. 0. 0. 1. 0. 0.],13,0.0,0.0,0.0,1.0,0.0,0.0,1,1,1,1,1,1
0,0,28,nonlinear,1,0,1,[1. 1. 1. 1. 0. 1.],6,1.0,1.0,1.0,1.0,0.0,1.0,0,0,0,0,0,0
0,0,29,nonlinear,1,1,2,[1. 1. 0. 1. 1. 1.],10,1.0,1.0,0.0,1.0,1.0,1.0,1,1,1,1,1,1
0,0,30,nonlinear,0,0,1,[0. 1. 0. 0. 0. 0.],2,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
0,0,31,nonlinear,0,0,1,[0. 0. 0. 0. 0. 0.],0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
0,0,32,nonlinear,1,1,2,[0. 1. 1. 1. 1. 1.],8,0.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1
0,0,33,nonlinear,0,1,2,[0. 0. 0. 1. 0. 0.],13,0.0,0.0,0.0,1.0,0.0,0.0,1,1,1,1,1,1
0,0,34,nonlinear,0,0,1,[0. 0. 1. 0. 0. 0.],3,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0
0,0,35,nonlinear,1,0,1,[0. 0. 0. 0. 0. 0.],0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
0,0,36,nonlinear,1,1,2,[0. 1. 1. 1. 1. 1.],8,0.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1
0,0,37,nonlinear,0,1,2,[1. 1. 1. 1. 1. 1.],7,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1
0,0,38,nonlinear,1,1,2,[0. 1. 1. 1. 1. 1.],8,0.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1
0,0,39,nonlinear,1,1,2,[0. 0. 0. 1. 0. 0.],13,0.0,0.0,0.0,1.0,0.0,0.0,1,1,1,1,1,1
0,0,40,nonlinear,0,0,1,[0. 1. 0. 0. 0. 0.],2,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
0,0,41,nonlinear,0,0,1,[1. 1. 1. 1. 0. 1.],6,1.0,1.0,1.0,1.0,0.0,1.0,0,0,0,0,0,0
0,0,42,nonlinear,1,1,2,[1. 1. 1. 1. 1. 0.],12,1.0,1.0,1.0,1.0,1.0,0.0,1,1,1,1,1,1
0,0,43,nonlinear,1,0,1,[1. 0. 0. 0. 0. 0.],1,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
0,0,44,nonlinear,0,0,1,[1. 0. 0. 0. 0. 0.],1,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
0,0,45,nonlinear,1,1,2,[1. 1. 0. 1. 1. 1.],10,1.0,1.0,0.0,1.0,1.0,1.0,1,1,1,1,1,1
0,0,46,nonlinear,1,1,2,[1. 1. 1. 1. 1. 1.],7,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1
0,0,47,nonlinear,0,0,1,[0. 0. 1. 0. 0. 0.],3,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0
0,0,48,nonlinear,1,1,2,[0. 1. 1. 1. 1. 1.],8,0.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1
0,0,49,nonlinear,1,1,2,[1. 1. 1. 1. 1. 1.],7,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1
0,0,50,nonlinear,0,0,1,[1. 1. 1. 1. 0. 1.],6,1.0,1.0,1.0,1.0,0.0,1.0,0,0,0,0,0,0
0,0,51,nonlinear,1,1,2,[0. 0. 0. 1. 0. 0.],13,0.0,0.0,0.0,1.0,0.0,0.0,1,1,1,1,1,1
0,0,52,nonlinear,1,1,2,[1. 1. 1. 1. 1. 0.],12,1.0,1.0,1.0,1.0,1.0,0.0,1,1,1,1,1,1
0,0,53,nonlinear,1,1,2,[1. 1. 1. 1. 1. 0.],12,1.0,1.0,1.0,1.0,1.0,0.0,1,1,1,1,1,1
0,0,54,nonlinear,0,0,1,[1. 0. 0. 0. 0. 0.],1,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
0,0,55,nonlinear,0,0,1,[0. 0. 0. 0. 1. 0.],4,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0
0,0,56,nonlinear,1,1,2,[1. 1. 1. 1. 1. 1.],7,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1
0,0,57,nonlinear,0,1,2,[1. 0. 1. 1. 1. 1.],9,1.0,0.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1
0,0,58,nonlinear,1,1,2,[0. 0. 0. 1. 0. 0.],13,0.0,0.0,0.0,1.0,0.0,0.0,1,1,1,1,1,1
0,0,59,nonlinear,0,0,1,[0. 1. 0. 0. 0. 0.],2,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
0,0,60,nonlinear,0,0,1,[0. 0. 0. 0. 1. 0.],4,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0
0,0,61,nonlinear,0,0,1,[1. 1. 1. 1. 0. 1.],6,1.0,1.0,1.0,1.0,0.0,1.0,0,0,0,0,0,0
0,0,62,nonlinear,0,0,1,[1. 0. 0. 0. 0. 0.],1,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
0,0,63,nonlinear,0,0,1,[0. 0. 0. 0. 0. 0.],0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
0,0,64,nonlinear,0,0,1,[0. 1. 0. 0. 0. 0.],2,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
0,0,65,nonlinear,1,1,2,[1. 1. 1. 1. 1. 0.],12,1.0,1.0,1.0,1.0,1.0,0.0,1,1,1,1,1,1
0,0,66,nonlinear,0,1,2,[1. 1. 1. 0. 1. 1.],11,1.0,1.0,1.0,0.0,1.0,1.0,1,1,1,1,1,1
0,0,67,nonlinear,0,0,1,[0. 0. 0. 0. 1. 0.],4,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0
0,0,68,nonlinear,0,0,1,[1. 1. 1. 1. 0. 1.],6,1.0,1.0,1.0,1.0,0.0,1.0,0,0,0,0,0,0
0,0,69,nonlinear,0,0,1,[1. 0. 0. 0. 0. 0.],1,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
0,0,70,nonlinear,1,1,2,[0. 1. 1. 1. 1. 1.],8,0.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1
0,0,71,nonlinear,1,1,2,[0. 1. 1. 1. 1. 1.],8,0.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1
0,0,72,nonlinear,0,0,1,[0. 0. 0. 0. 0. 0.],0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
0,0,73,nonlinear,1,1,2,[1. 1. 0. 1. 1. 1.],10,1.0,1.0,0.0,1.0,1.0,1.0,1,1,1,1,1,1
