,feature_names,category_names,task_id
0,"[' Shape', ' Color']","[' Fruits', ' Vehicles']",0
1,"[' Texture', ' Size']","[' Animals', ' Furniture']",1
2,"[' Orientation', ' Brightness']","[' Tools', ' Buildings']",2
3,"[' Pattern', ' Weight']","[' Insects', ' Musical Instruments']",3
4,"[' Hue', ' Saturation']","[' Sports', ' Food']",4
5,"[' Angle', ' Curvature']","[' Flowers', ' Electronics']",5
6,"[' Opacity', ' Speed']","[' Cars', ' Bicycles']",6
7,"[' Reflectance', ' Contrast']","[' Fish', ' Fruits']",7
8,"[' Frequency', ' Amplitude']","[' Trees', ' Machines']",8
9,"[' Aspect Ratio', ' Material']","[' Rocks', ' Appliances']",9
10,"[' Symmetry', ' Loudness']","[' Birds', ' Furniture']",10
11,"[' Resolution', ' Clarity']","[' Clouds', ' Buildings']",11
12,"[' Illumination', ' Distance']","[' Roads', ' Furniture']",12
13,"[' Saturation', ' Sharpness']","[' Animals', ' Vegetables']",13
14,"[' Proportion', ' Balance']","[' Furniture', ' Toys']",14
15,"[' Rigidity', ' Smoothness']","[' Metals', ' Plastics']",15
16,"[' Vibrancy', ' Lightness']","[' Fruits', ' Vegetables']",16
17,"[' Angularity', ' Roundness']","[' Animals', ' Toys']",17
18,"[' Transparency', ' Thickness']","[' Glass', ' Fabric']",18
19,"[' Contour', ' Fill']","[' Buildings', ' Landscapes']",19
20,"[' Length', ' Width']","[' Roads', ' Rivers']",20
21,"[' Width', ' Height']","[' Windows', ' Doors']",21
22,"[' Curviness', ' Straightness']","[' Rivers', ' Roads']",22
23,"[' Glossiness', ' Matteness']","[' Fruits', ' Vegetables']",23
24,"[' Spikiness', ' Roundness']","[' Cacti', ' Flowers']",24
25,"[' Fragmentation', ' Unity']","[' Rocks', ' Mountains']",25
26,"[' Flexibility', ' Rigidness']","[' Rubber', ' Metal']",26
27,"[' Porosity', ' Solidness']","[' Sponges', ' Bricks']",27
28,"[' Tactility', ' Slipperiness']","[' Fabrics', ' Glass']",28
29,"[' Angularity', ' Curviness']","[' Machines', ' Furniture']",29
