,feature_names,category_names,task_id
0,"['hue', 'shape', 'size', 'texture']","['fruits', 'vegetables']",0
1,"['length', 'width', 'height', 'weight']","['cars', 'trucks']",1
2,"['pitch', 'timbre', 'tempo', 'rhythm']","['classical', 'pop']",2
3,"['altitude', 'cloudcover', 'precipitation', 'windspeed']","['goodweather', 'badweather']",3
4,"['sodium', 'calories', 'protein', 'fiber']","['healthyfoods', 'unhealthyfoods']",4
5,"['hardness', 'ductility', 'conductivity', 'meltingpoint']","['metals', 'nonmetals']",5
6,"['legs', 'wings', 'fins', 'horns']","['mammals', 'reptiles']",6
7,"['sourness', 'bitterness', 'sweetness', 'spiciness']","['desserts', 'entrees']",7
8,"['noun', 'verb', 'adjective', 'adverb']","['grammar', 'vocabulary']",8
9,"['bass', 'percussion', 'brass', 'woodwind']","['orchestra', 'marchingband']",9
10,"['nitrogen', 'phosphorus', 'potassium', 'pH']","['fertilesoil', 'non-fertilesoil']",10
11,"['acceleration', 'topspeed', 'seatingcapacity', 'cargocapacity']","['sportscars', 'familycars']",11
12,"['oventemperature', 'cooktime', 'ingredients', 'preparationmethod']","['bakedgoods', 'maincourses']",12
13,"['amplitude', 'frequency', 'phase', 'harmonics']","['periodicmotion', 'non-periodicmotion']",13
14,"['branches', 'leaves', 'flowers', 'roots']","['deciduoustrees', 'coniferoustrees']",14
15,"['lithium', 'cobalt', 'nickel', 'carbon']","['highenergydensity', 'lowenergydensity']",15
16,"['depth', 'tint', 'clarity', 'cut']","['preciousstones', 'semi-preciousstones']",16
17,"['latitude', 'annualrainfall', 'temperaturerange', 'growingseason']","['cashcrops', 'foodcrops']",17
18,"['flashpoint', 'viscosity', 'specificgravity', 'sulfurcontent']","['gasoline', 'diesel']",18
19,"['segmentlength', 'anglemeasure', 'area', 'perimeter']","['polygons', 'non-polygons']",19
20,"['headaches', 'fatigue', 'nausea', 'muscleaches']","['viralillness', 'bacterialillness']",20
21,"['cloudtype', 'precipitationtype', 'windspeed', 'temperature']","['pleasantweather', 'severeweather']",21
22,"['leaves', 'stems', 'roots', 'flowers']","['monocots', 'dicots']",22
23,"['length', 'diameter', 'flexibility', 'hardness']","['needles', 'catheters']",23
24,"['frequency', 'amplitude', 'timbre', 'tempo']","['stringinstruments', 'percussioninstruments']",24
25,"['mass', 'charge', 'spin', 'strangeness']","['mesons', 'baryons']",25
26,"['height', 'weight', 'wingspan', 'beakshape']","['songbirds', 'birdsofprey']",26
27,"['acidity', 'tannins', 'alcoholcontent', 'sugarcontent']","['redwines', 'whitewines']",27
28,"['lines', 'shapes', 'values', 'textures']","['representationalart', 'abstractart']",28
29,"['elements', 'valence', 'atomicradius', 'electronegativity']","['metals', 'nonmetals']",29
30,"['redbloodcells', 'whitebloodcells', 'platelets', 'hemoglobin']","['healthyblood', 'unhealthyblood']",30
31,"['length', 'complexity', 'rhyme', 'metaphor']","['freeverse', 'structuredverse']",31
32,"['lipids', 'proteins', 'carbohydrates', 'vitamins']","['nutrientdensefoods', 'processedfoods']",32
33,"['duration', 'pitch', 'timbre', 'tempo']","['lullabies', 'marches']",33
34,"['mass', 'gravitationalforce', 'ellipticalshape', 'satellites']","['innerplanets', 'outerplanets']",34
35,"['lines', 'shapes', 'shading', 'perspective']","['landscapes', 'portraits']",35
36,"['acids', 'bases', 'oxidizers', 'reducers']","['safechemicals', 'dangerouschemicals']",36
37,"['nodes', 'links', 'clusters', 'paths']","['socialnetworks', 'technologicalnetworks']",37
38,"['length', 'wordcount', 'narrator', 'themes']","['novels', 'shortstories']",38
39,"['length', 'width', 'height', 'weight']","['furniture', 'electronics']",39
40,"['wingspan', 'beakshape', 'feathercolor', 'leglength']","['seabirds', 'landbirds']",40
41,"['cylinderbore', 'pistonstroke', 'compressionratio', 'turbocharged']","['economycars', 'sportscars']",41
42,"['bladelength', 'handlematerial', 'bladetype', 'tangstyle']","['kitchenknives', 'pocketknives']",42
43,"['manelength', 'hoofshape', 'coatpattern', 'taillength']","['drafthorses', 'racehorses']",43
44,"['shellshape', 'shellpattern', 'fleshcolor', 'tentaclenumber']","['ediblemollusks', 'poisonousmollusks']",44
45,"['finshape', 'scalepattern', 'eyeposition', 'tailtype']","['freshwaterfish', 'saltwaterfish']",45
46,"['leafshape', 'leafmargin', 'leafveinpattern', 'flowercolor']","['deciduoustrees', 'coniferoustrees']",46
47,"['snoutshape', 'earsize', 'coatcolor', 'tailcurl']","['hounds', 'terriers']",47
48,"['wheeldiameter', 'tirewidth', 'suspensiontype', 'drivetrain']","['off-roadvehicles', 'on-roadvehicles']",48
49,"['beveragecolor', 'carbonationlevel', 'sweetenertype', 'caffeinelevel']","['sodas', 'juices']",49
50,"['cruststyle', 'saucetype', 'toppingselection', 'cheesetype']","['deliverypizza', 'frozenpizza']",50
51,"['headphonetype', 'frequencyresponse', 'impedance', 'wirelessconnectivity']","['studioheadphones', 'consumerheadphones']",51
52,"['screensize', 'resolution', 'refreshrate', 'paneltype']","['homemonitors', 'portablemonitors']",52
53,"['furlength', 'pawsize', 'earshape', 'taillength']","['smallmammals', 'largemammals']",53
54,"['bladesteel', 'handlematerial', 'openingtype', 'lockstyle']","['tacticalfolders', 'traditionalfolders']",54
55,"['necklength', 'bodyshape', 'stringnumber', 'fretnumber']","['electricguitars', 'acousticguitars']",55
56,"['bakingtime', 'bakingtemperature', 'pansize', 'panmaterial']","['cakes', 'breads']",56
57,"['manetype', 'hoofshape', 'coatpattern', 'muscling']","['drafthorses', 'ridinghorses']",57
58,"['fleshcolor', 'scalesize', 'finposition', 'tailshape']","['ediblefish', 'venomousfish']",58
59,"['leafcomplexity', 'leafarrangement', 'leafmargin', 'flowersymmetry']","['floweringplants', 'nonfloweringplants']",59
60,"['snoutshape', 'earposition', 'leglength', 'coatpattern']","['scenthounds', 'sighthounds']",60
61,"['enginedisplacement', 'drivetrain', 'suspensiontype', 'bodystyle']","['sedans', 'trucks']",61
62,"['carbonationlevel', 'sweetenertype', 'fruitcontent', 'bottleshape']","['sodas', 'flavoredwaters']",62
63,"['saucetype', 'cheesetype', 'cruststyle', 'toppingoptions']","['thincrustpizza', 'deepdishpizza']",63
64,"['bodyshape', 'scalesize', 'finposition', 'gilltype']","['saltwaterfish', 'freshwaterfish']",64
65,"['petalshape', 'leaftype', 'stemcolor', 'fragrance']","['annualflowers', 'perennialflowers']",65
66,"['manelength', 'coatcolor', 'muscling', 'gait']","['ridinghorses', 'drafthorses']",66
67,"['screensize', 'resolution', 'graphicscard', 'processorspeed']","['desktopPCs', 'laptopPCs']",67
68,"['slicethickness', 'fieldstrength', 'pulsesequence', 'scanplane']","['MRIbrain', 'MRIknee']",68
69,"['furdensity', 'pawsize', 'taillength', 'clawsharpness']","['predators', 'prey']",69
70,"['neckstyle', 'fingerboardwood', 'bodywood', 'electronics']","['electricguitars', 'acousticguitars']",70
71,"['proofingtime', 'oventemperature', 'flourtype', 'fatcontent']","['yeastbreads', 'quickbreads']",71
72,"['venomtoxicity', 'headshape', 'scaletexture', 'temperament']","['dangeroussnakes', 'harmlesssnakes']",72
73,"['fruitshape', 'peeltexture', 'fleshcolor', 'seedcontent']","['citrusfruits', 'tropicalfruits']",73
74,"['manetype', 'withersheight', 'coatcolor', 'gait']","['ponybreeds', 'horsebreeds']",74
75,"['screentype', 'storagecapacity', 'CPUmodel', 'RAMamount']","['laptops', 'desktops']",75
76,"['cruststyle', 'cheeseblend', 'saucetype', 'meatselection']","['hand-tossedpizza', 'deepdishpizza']",76
77,"['caffeinecontent', 'dairysource', 'beveragetemperature', 'flavournotes']","['espressodrinks', 'teabeverages']",77
78,"['bladeshape', 'edgeangle', 'handlematerial', 'engraving']","['huntingknives', 'utilityknives']",78
79,"['sepalsnumber', 'petalsnumber', 'leavesarrangement', 'stemhairiness']","['monocots', 'dicots']",79
80,"['furcolor', 'territoriality', 'littersize', 'habitat']","['canids', 'felids']",80
81,"['filtrationrate', 'flowrate', 'tankvolume', 'lighting']","['freshwatertanks', 'saltwatertanks']",81
82,"['feathercolor', 'beakshape', 'leglength', 'migratorypattern']","['aquaticbirds', 'terrestrialbirds']",82
83,"['enginetype', 'drivetrain', 'groundclearance', 'towingcapacity']","['trucks', 'SUVs']",83
84,"['displaytype', 'resolution', 'refreshrate', 'responsetime']","['generalusemonitors', 'gamingmonitors']",84
85,"['necklength', 'fingerboardradius', 'bodystyle', 'electronics']","['solid-bodyelectrics', 'hollow-bodyelectrics']",85
86,"['cocoapercentage', 'milkcontent', 'sugarcontent', 'flavorings']","['darkchocolate', 'milkchocolate']",86
87,"['venompotency', 'scaletexture', 'headshape', 'habitat']","['vipers', 'cobras']",87
88,"['length', 'width', 'color', 'texture']","['vehicles', 'animals']",88
89,"['size', 'shape', 'pattern', 'material']","['furniture', 'clothing']",89
90,"['height', 'volume', 'scent', 'taste']","['flowers', 'trees']",90
91,"['pitch', 'tempo', 'timbre', 'melody']","['classical', 'rock']",91
92,"['calories', 'carbs', 'protein', 'fat']","['healthy', 'unhealthy']",92
93,"['altitude', 'cloudcover', 'precipitation', 'temperature']","['summer', 'winter']",93
94,"['speed', 'acceleration', 'handling', 'fuelefficiency']","['sportscars', 'sedans']",94
95,"['brightness', 'saturation', 'hue', 'contrast']","['warmcolors', 'coolcolors']",95
96,"['chapters', 'characters', 'genre', 'author']","['fiction', 'nonfiction']",96
97,"['bass', 'treble', 'distortion', 'delay']","['blues', 'jazz']",97
98,"['legs', 'wings', 'habitat', 'diet']","['mammals', 'birds']",98
99,"['consonants', 'vowels', 'syllables', 'accent']","['English', 'Spanish']",99
100,"['ions', 'atoms', 'bonds', 'PH']","['acids', 'bases']",100
101,"['latitude', 'continent', 'climate', 'wildlife']","['northern', 'southern']",101
102,"['cruisingaltitude', 'cargocapacity', 'range', 'speed']","['propeller', 'jet']",102
103,"['processor', 'memory', 'graphics', 'storage']","['desktops', 'laptops']",103
104,"['plot', 'acting', 'effects', 'soundtrack']","['dramas', 'comedies']",104
105,"['duration', 'rhythm', 'melody', 'harmony']","['classical', 'pop']",105
106,"['mass', 'velocity', 'momentum', 'energy']","['moving', 'stationary']",106
107,"['sentences', 'paragraphs', 'spelling', 'grammar']","['well-written', 'poor-written']",107
108,"['spokes', 'gears', 'frame', 'brakes']","['mountainbikes', 'roadbikes']",108
109,"['plot', 'characters', 'setting', 'theme']","['mysteries', 'romances']",109
110,"['acidity', 'tannins', 'body', 'aroma']","['redwines', 'whitewines']",110
111,"['keys', 'timesignature', 'tempo', 'dynamics']","['marches', 'waltzes']",111
112,"['length', 'pattern', 'habitat', 'diet']","['marsupials', 'rodents']",112
113,"['memory', 'storage', 'screen', 'batterylife']","['tablets', 'phones']",113
114,"['rhythm', 'melody', 'harmony', 'lyrics']","['country', 'hiphop']",114
115,"['pages', 'spine', 'cover', 'binding']","['hardcovers', 'paperbacks']",115
116,"['saltiness', 'sweetness', 'sourness', 'bitterness']","['savory', 'desserts']",116
117,"['altitude', 'temperature', 'wildlife', 'terrain']","['forests', 'deserts']",117
118,"['cpu', 'gpu', 'ram', 'storage']","['desktops', 'laptops']",118
119,"['calories', 'protein', 'carbs', 'fat']","['healthy', 'unhealthy']",119
120,"['consonants', 'vowels', 'syllables', 'accent']","['french', 'german']",120
121,"['witnesses', 'evidence', 'motive', 'weapon']","['guilty', 'notguilty']",121
122,"['bass', 'mids', 'treble', 'effects']","['metal', 'pop']",122
123,"['length', 'wingspan', 'beak', 'feet']","['seabirds', 'songbirds']",123
124,"['plot', 'characters', 'dialogue', 'setting']","['dramas', 'comedies']",124
125,"['keys', 'tempo', 'chords', 'scales']","['classical', 'jazz']",125
126,"['chapters', 'characters', 'genre', 'author']","['fiction', 'nonfiction']",126
127,"['length', 'width', 'height', 'weight']","['vehicles', 'animals']",127
128,"['shade', 'texture', 'shape', 'size']","['fruits', 'vegetables']",128
129,"['loudness', 'pitch', 'tempo', 'genre']","['rockmusic', 'classicalmusic']",129
130,"['CPUspeed', 'RAM', 'storage', 'GPU']","['laptops', 'desktops']",130
131,"['salty', 'sweet', 'sour', 'bitter']","['snacks', 'meals']",131
132,"['red', 'green', 'blue', 'luminosity']","['warmcolors', 'coolcolors']",132
133,"['suspense', 'action', 'drama', 'comedy']","['movies', 'TVshows']",133
134,"['spiciness', 'creaminess', 'crunchiness', 'sweetness']","['soups', 'desserts']",134
135,"['altitude', 'cloudcover', 'precipitation', 'temperature']","['springweather', 'winterweather']",135
136,"['rhyme', 'meter', 'length', 'theme']","['poems', 'novels']",136
137,"['stripes', 'spots', 'solid', 'swirls']","['cats', 'dogs']",137
138,"['healing', 'support', 'tank', 'damage']","['heroes', 'villains']",138
139,"['hips', 'waist', 'bust', 'height']","['dresses', 'tops']",139
140,"['acres', 'location', 'age', 'rooms']","['estates', 'cottages']",140
141,"['hoppiness', 'malt', 'yeast', 'alcohol']","['ales', 'lagers']",141
142,"['bass', 'treble', 'tempo', 'genre']","['pop', 'rock']",142
143,"['citrus', 'floral', 'musky', 'powdery']","[""women's"", ""men's""]",143
144,"['crunchy', 'creamy', 'chunky', 'smooth']","['icecream', 'yogurt']",144
145,"['legs', 'wings', 'fins', 'tail']","['birds', 'fish']",145
146,"['cotton', 'polyester', 'fleece', 'wool']","['t-shirts', 'sweaters']",146
147,"['crispiness', 'flakiness', 'richness', 'sweetness']","['cookies', 'cakes']",147
