,participant,task,trial,choice,reward,x0,x1,x2,x3,target,time,tier
0,0,0,0,1,1.0,-1.33,-2.75,0.97,-1.13,1,136894.0,0.0
1,0,0,1,1,1.0,-1.3,2.63,-2.45,-0.65,1,152402.0,0.0
2,0,0,2,0,1.0,0.81,-0.58,-0.09,0.93,0,164644.0,0.0
3,0,0,3,0,-1.0,0.11,-0.09,-0.98,0.95,1,175852.0,0.0
4,0,0,4,1,1.0,-0.28,0.22,-2.66,1.43,1,185874.0,0.0
5,0,0,5,1,-1.0,0.22,1.04,-0.59,0.09,0,195200.0,0.0
6,0,0,6,0,-1.0,1.22,-0.73,-2.73,1.84,1,212143.0,0.0
7,0,0,7,1,1.0,-1.07,-0.53,-0.68,-0.02,1,220675.0,0.0
8,0,0,8,0,-1.0,0.31,-0.81,0.07,0.66,1,241477.0,0.0
9,0,0,9,1,1.0,-0.17,-0.99,0.24,-0.51,1,266008.0,0.0
10,0,1,0,0,-1.0,2.23,1.21,-0.97,-1.13,1,283681.0,0.0
11,0,1,1,0,1.0,-2.46,2.38,-0.12,4.37,0,296799.0,0.0
12,0,1,2,1,1.0,-0.78,-1.57,-0.52,0.2,1,305301.0,0.0
13,0,1,3,0,1.0,0.31,-0.72,1.1,1.46,0,311493.0,0.0
14,0,1,4,0,1.0,-2.85,-2.73,1.78,1.48,0,319459.0,0.0
15,0,1,5,0,1.0,0.01,2.73,-0.01,0.98,0,326357.0,0.0
16,0,1,6,1,1.0,-1.35,0.79,-1.4,0.37,1,335805.0,0.0
17,0,1,7,0,-1.0,2.6,2.67,-1.09,-1.64,1,368823.0,0.0
18,0,1,8,1,1.0,1.96,-1.24,1.84,-0.58,1,378133.0,0.0
19,0,1,9,1,-1.0,-0.77,-2.62,3.01,0.74,0,392353.0,0.0
20,0,2,0,0,1.0,-0.41,2.01,-0.47,-1.84,0,410935.0,0.0
21,0,2,1,1,1.0,1.05,0.53,1.77,-2.12,1,424076.0,0.0
22,0,2,2,1,1.0,-1.24,-1.08,0.26,0.18,1,432792.0,0.0
23,0,2,3,1,-1.0,0.33,-0.31,-1.86,1.58,0,444223.0,0.0
24,0,2,4,0,1.0,1.57,1.03,1.38,-0.12,0,456128.0,0.0
25,0,2,5,1,1.0,-0.83,0.52,-1.38,-1.13,1,462338.0,0.0
26,0,2,6,1,1.0,-0.55,-0.97,0.0,0.8,1,471114.0,0.0
27,0,2,7,1,1.0,-0.58,-2.69,1.7,0.99,1,496442.0,0.0
28,0,2,8,0,1.0,2.67,1.43,1.73,-2.5,0,502636.0,0.0
29,0,2,9,1,1.0,1.0,-1.1,-0.65,-0.63,1,509228.0,0.0
30,0,3,0,1,1.0,3.02,-2.81,-0.87,0.31,1,525040.0,0.0
31,0,3,1,1,1.0,-2.02,0.98,0.53,-2.87,1,531484.0,0.0
32,0,3,2,0,1.0,0.57,0.42,-1.0,2.31,0,541698.0,0.0
33,0,3,3,0,1.0,-2.18,4.01,-1.75,0.89,0,551606.0,0.0
34,0,3,4,1,1.0,1.12,-2.2,0.32,-1.64,1,560588.0,0.0
35,0,3,5,1,1.0,-2.38,0.27,2.62,-3.58,1,570442.0,0.0
36,0,3,6,1,1.0,1.51,-0.54,-2.55,-0.22,1,581774.0,0.0
37,0,3,7,0,-1.0,1.86,-2.23,-1.16,0.71,1,590698.0,0.0
38,0,3,8,1,-1.0,-1.34,-0.2,3.57,-1.84,0,604407.0,0.0
39,0,3,9,1,1.0,1.45,-2.31,-1.0,-1.55,1,613902.0,0.0
40,0,4,0,1,-1.0,-0.46,0.36,0.51,-0.43,0,628372.0,0.0
41,0,4,1,1,1.0,-0.58,-0.04,-0.63,-1.28,1,639901.0,0.0
42,0,4,2,0,-1.0,0.12,-1.78,1.04,0.77,1,655573.0,0.0
43,0,4,3,1,1.0,-2.49,-1.98,-1.85,0.74,1,659714.0,0.0
44,0,4,4,1,1.0,0.96,-1.0,-0.62,1.82,1,664636.0,0.0
45,0,4,5,1,1.0,-1.4,-0.16,-1.41,-0.78,1,669465.0,0.0
46,0,4,6,1,1.0,-0.53,-1.29,0.2,-0.18,1,676723.0,0.0
