,participant,task,trial,choice,reward,x0,x1,target,time,tier
0,0,0,0,1,1.0,-1.46,-1.73,1,408313.0,0.0
1,0,0,1,0,-1.0,-0.44,0.16,1,420379.0,0.0
2,0,0,2,1,1.0,-0.81,0.37,1,431205.0,0.0
3,0,0,3,0,1.0,1.84,-0.19,0,442959.0,0.0
4,0,0,4,1,1.0,-1.3,-1.44,1,448754.0,0.0
5,0,0,5,1,1.0,-2.96,-1.33,1,452520.0,0.0
6,0,0,6,1,-1.0,-0.09,1.06,0,460666.0,0.0
7,0,0,7,0,1.0,0.2,1.54,0,465610.0,0.0
8,0,0,8,1,1.0,-0.55,-1.14,1,470618.0,0.0
9,0,0,9,0,1.0,0.92,-0.63,0,475624.0,0.0
10,0,1,0,1,1.0,0.74,0.28,1,507896.0,0.0
11,0,1,1,1,-1.0,-0.04,0.49,0,513261.0,0.0
12,0,1,2,0,1.0,-1.02,-2.08,0,518471.0,0.0
13,0,1,3,1,1.0,1.14,0.99,1,523164.0,0.0
14,0,1,4,1,1.0,1.18,1.74,1,527871.0,0.0
15,0,1,5,0,1.0,-0.33,-1.32,0,533561.0,0.0
16,0,1,6,1,-1.0,0.08,1.15,0,538203.0,0.0
17,0,1,7,0,1.0,-3.02,-3.11,0,542789.0,0.0
18,0,1,8,0,1.0,-1.8,-1.67,0,546315.0,0.0
19,0,1,9,1,-1.0,-0.06,0.69,0,551466.0,0.0
20,0,2,0,0,-1.0,-1.51,-1.98,1,574798.0,0.0
21,0,2,1,1,1.0,-1.65,-2.58,1,579751.0,0.0
22,0,2,2,0,-1.0,0.01,-0.33,1,585776.0,0.0
23,0,2,3,0,1.0,2.89,2.25,0,590105.0,0.0
24,0,2,4,0,1.0,-0.65,0.5,0,593839.0,0.0
25,0,2,5,0,1.0,1.71,1.01,0,597279.0,0.0
26,0,2,6,1,1.0,-4.35,-3.19,1,600996.0,0.0
27,0,2,7,1,-1.0,-0.2,-0.1,0,604966.0,0.0
28,0,2,8,1,-1.0,-2.5,-0.31,0,610621.0,0.0
29,0,2,9,0,1.0,0.09,0.76,0,614403.0,0.0
30,0,3,0,1,1.0,0.9,-0.19,1,643331.0,0.0
31,0,3,1,0,1.0,-0.24,0.05,0,649765.0,0.0
32,0,3,2,0,1.0,-2.36,3.3,0,654600.0,0.0
33,0,3,3,0,-1.0,-0.12,0.71,1,661809.0,0.0
34,0,3,4,0,-1.0,-0.54,3.0,1,669406.0,0.0
35,0,3,5,1,-1.0,-0.55,0.64,0,676771.0,0.0
36,0,3,6,1,1.0,0.71,-0.25,1,681176.0,0.0
37,0,3,7,1,1.0,1.43,-1.06,1,685583.0,0.0
38,0,3,8,0,1.0,-1.38,-1.08,0,690248.0,0.0
39,0,3,9,0,1.0,-1.71,3.46,0,694389.0,0.0
40,0,4,0,1,1.0,1.58,-2.55,1,716992.0,0.0
41,0,4,1,1,-1.0,-0.31,0.2,0,722775.0,0.0
42,0,4,2,0,1.0,-0.47,-0.56,0,728618.0,0.0
43,0,4,3,1,1.0,-0.53,2.16,1,734260.0,0.0
44,0,4,4,0,1.0,-2.74,-0.11,0,741331.0,0.0
45,0,4,5,1,1.0,-0.4,2.5,1,744966.0,0.0
46,0,4,6,0,1.0,-0.85,-0.64,0,748492.0,0.0
47,0,4,7,1,1.0,0.13,0.73,1,752415.0,0.0
48,0,4,8,1,-1.0,-0.88,0.28,0,758503.0,0.0
49,0,4,9,0,-1.0,0.81,-0.06,1,763481.0,0.0
50,0,5,0,0,-1.0,-1.8,-0.15,1,791621.0,0.0
51,0,5,1,0,1.0,0.89,1.51,0,797549.0,0.0
52,0,5,2,0,1.0,2.28,1.8,0,801429.0,0.0
53,0,5,3,0,1.0,1.4,0.11,0,806450.0,0.0
54,0,5,4,1,1.0,-0.31,-2.84,1,815939.0,0.0
55,0,5,5,1,1.0,-0.65,-0.98,1,824071.0,0.0
56,0,5,6,0,-1.0,-1.89,0.54,1,843749.0,0.0
57,0,5,7,1,1.0,-0.32,-0.27,1,849702.0,0.0
58,0,5,8,1,-1.0,-0.4,-0.4,0,858181.0,0.0
59,0,5,9,0,-1.0,-0.44,-0.73,1,862931.0,0.0
60,0,6,0,1,-1.0,-0.92,-0.16,0,884538.0,0.0
61,0,6,1,1,1.0,1.02,0.32,1,893340.0,0.0
62,0,6,2,0,1.0,-2.11,-1.2,0,897291.0,0.0
63,0,6,3,0,1.0,0.65,-1.28,0,909169.0,0.0
