,feature_names,target_names,task_id
0,"('Income', 'NetWorth', 'Debt', 'Expenses')",CreditScore,0
1,"('SalesRevenue', 'ProfitMargin', 'OperatingCosts', 'Investments')",CompanyValue,1
2,"('Age', 'Diet', 'Exercise', 'FamilyHistory')",LifeExpectancy,2
3,"('StudyHours', 'ClassAttendance', 'AssignmentScores', 'TestScores')",FinalGrade,3
4,"('Ingredients', 'CookingTime', 'OvenTemperature', 'RestingTime')",Taste,4
5,"('Length', 'Width', 'Height', 'Weight')",Volume,5
6,"('Rainfall', 'SoilNutrients', 'Sunlight', 'Irrigation')",CropYield,6
7,"('PracticeHours', 'LessonsTaken', 'MusicTheoryKnowledge', 'AuditionNerves')",AuditionScore,7
8,"('SizeofDeposit', 'InterestRate', 'Fees', 'Withdrawals')",AccountBalance,8
9,"('MilesDriven', 'AgeofTires', 'OilChanges', 'OtherRepairs')",CarValue,9
10,"('SATScore', 'GPA', 'Extracurriculars', 'Essay')",CollegeAdmissions,10
11,"('Height', 'VerticalLeap', 'Speed', 'Coordination')",DunkAbility,11
12,"('BakingTime', 'OvenTemperature', 'IngredientQuality', 'Technique')",CakeTaste,12
13,"('StudyTime', 'Focus', 'Rest', 'Motivation')",TestPerformance,13
14,"('CloudCover', 'Temperature', 'WindSpeed', 'Humidity')",ChanceofRain,14
15,"('Investments', 'MarketConditions', 'CompanyPerformance', 'EconomicFactors')",PortfolioReturns,15
16,"('Weight', 'BodyFatPercentage', 'Diet', 'ExerciseRoutine')",FitnessLevel,16
17,"('AnswersCorrect', 'TimeSpent', 'DifficultyLevel', 'AssistanceNeeded')",ExamPerformance,17
18,"('StepsWalked', 'ExerciseIntensity', 'CaloricIntake', 'BasalMetabolicRate')",WeightLoss,18
19,"('NoiseLevel', 'BuildingMaterials', 'RoomShape', 'Furnishings')",AcousticQuality,19
20,"('PreparationTime', 'CookingSkill', 'RecipeComplexity', 'Ingredients')",MealTaste,20
21,"('RehearsalHours', 'MusicalAbility', 'SongComplexity', 'StagePresence')",ConcertReviews,21
22,"('Emissions', 'EnergyEfficiency', 'MaterialUsage', 'RecycledContent')",EnvironmentalImpact,22
23,"('TeamCohesion', 'IndividualTalent', 'Coaching', 'Injuries')",ChampionshipOdds,23
24,"('ProteinIntake', 'WeightTraining', 'CardioWork', 'Recovery')",MuscleGains,24
25,"('CapitalInvestment', 'BankLoans', 'CashFlow', 'SalesFigures')",Profit,25
26,"('Technique', 'Frequency', 'Positioning', 'PatientComfort')",ScanImageQuality,26
27,"('ProductQuality', 'Marketing', 'PricePoint', 'BrandLoyalty')",SalesRevenue,27
28,"('CloudCover', 'DewPoint', 'WindSpeed', 'BarometricPressure')",StormSeverity,28
29,"('IngredientCosts', 'LaborCosts', 'Rent', 'CustomerTraffic')",RestaurantProfitability,29
30,"('StudyHours', 'SleepQuality', 'TestPrepResources', 'AccountabilityPartner')",ExamReadiness,30
31,"('FatIntake', 'ExerciseIntensity', 'Hydration', 'SupplementUse')",MarathonFinishTime,31
32,"('Fluency', 'Charisma', 'PolicyExpertise', 'CampaignFunding')",VotingPercentage,32
33,"('Aperture', 'ShutterSpeed', 'Lighting', 'LensQuality')",PhotoClarity,33
34,"('TimeSpentPromoting', 'EngagementRate', 'FollowersGained', 'IndustryRelevance')",InfluencerStatus,34
35,"('FamilyHistory', 'Diet', 'ActivityLevel', 'Vaccinations')",DiseaseRisk,35
36,"('HouseSize', 'LotSize', 'SchoolDistrict', 'Commute')",PropertyValue,36
37,"('BreedingStock', 'FeedQuality', 'VeterinaryCare', 'Shelter')",OffspringHealth,37
38,"('PlayerSynergy', 'CoachingStrategies', 'IndividualPerformances', 'Injuries')",ChampionshipOdds,38
39,"('Precipitation', 'CropSelection', 'SoilManagement', 'MechanizationLevel')",HarvestSize,39
40,"('ComponentsQuality', 'BuildOrder', 'CableManagement', 'Troubleshooting')",PCPerformance,40
41,"('DesignLayout', 'Typography', 'VisualHierarchy', 'ColorScheme')",SiteUsability,41
42,"('IdeaNovelty', 'BusinessModel', 'ManagementTeam', 'InvestorInterest')",StartupSuccessRate,42
