input,target,trial_id,task_id
[107.0],185000000.0,0,0
[142.0],210000000.0,1,0
[116.0],195000000.0,2,0
[123.0],205000000.0,3,0
[138.0],215000000.0,4,0
[126.0],208000000.0,5,0
[113.0],190000000.0,6,0
[131.0],212000000.0,7,0
[148.0],225000000.0,8,0
[104.0],180000000.0,9,0
[151.0],230000000.0,10,0
[128.0],210000000.0,11,0
[114.0],193000000.0,12,0
[140.0],217000000.0,13,0
[118.0],197000000.0,14,0
[133.0],214000000.0,15,0
[145.0],222000000.0,16,0
[109.0],187000000.0,17,0
[136.0],216000000.0,18,0
[124.0],206000000.0,19,0
[23.0],42.0,0,1
[18.0],33.0,1,1
[35.0],58.0,2,1
[29.0],47.0,3,1
[20.0],37.0,4,1
[33.0],55.0,5,1
[26.0],42.0,6,1
[31.0],52.0,7,1
[16.0],28.0,8,1
[42.0],68.0,9,1
[38.0],61.0,10,1
[12.0],24.0,11,1
[49.0],78.0,12,1
[14.0],25.0,13,1
[47.0],74.0,14,1
[10.0],19.0,15,1
[55.0],86.0,16,1
[40.0],63.0,17,1
[30.0],50.0,18,1
[45.0],70.0,19,1
[0.72],3.51,0,2
[0.85],5.32,1,2
[0.46],1.23,2,2
[1.24],9.85,3,2
[0.38],0.98,4,2
[0.93],6.74,5,2
[0.61],2.79,6,2
[1.07],8.92,7,2
[0.29],0.67,8,2
[1.16],10.37,9,2
[0.53],1.85,10,2
[1.05],8.51,11,2
[0.83],5.03,12,2
[0.57],2.31,13,2
[0.94],6.93,14,2
[0.81],4.78,15,2
[0.34],0.87,16,2
[1.29],11.45,17,2
[0.47],1.28,18,2
[0.62],2.87,19,2
[21.0],112.0,0,3
[18.0],105.0,1,3
[31.0],142.0,2,3
[26.0],125.0,3,3
[16.0],93.0,4,3
[29.0],135.0,5,3
[33.0],147.0,6,3
[15.0],90.0,7,3
[20.0],107.0,8,3
[39.0],163.0,9,3
[14.0],87.0,10,3
[24.0],118.0,11,3
[17.0],97.0,12,3
[30.0],139.0,13,3
[37.0],155.0,14,3
[23.0],115.0,15,3
[28.0],132.0,16,3
[22.0],114.0,17,3
[25.0],120.0,18,3
[19.0],103.0,19,3
[1000.0],5.2,0,4
[2300.0],8.7,1,4
[1800.0],7.1,2,4
[2000.0],9.1,3,4
[1500.0],6.8,4,4
[3000.0],10.3,5,4
[2200.0],8.3,6,4
[2600.0],9.4,7,4
[1400.0],6.4,8,4
[1700.0],7.2,9,4
[1200.0],5.7,10,4
[1900.0],8.9,11,4
[2100.0],9.6,12,4
[2500.0],11.2,13,4
[1300.0],6.1,14,4
[1600.0],8.4,15,4
[2900.0],12.1,16,4
[2800.0],10.7,17,4
[2400.0],9.9,18,4
[2700.0],10.5,19,4
[12.3],92.1,0,5
[5.7],62.8,1,5
[18.2],117.3,2,5
[3.1],47.6,3,5
[9.8],79.4,4,5
[15.5],105.2,5,5
[7.2],68.9,6,5
[13.9],97.7,7,5
[11.4],88.3,8,5
[2.3],44.1,9,5
[16.8],112.5,10,5
[6.5],65.2,11,5
[20.1],125.8,12,5
[14.6],101.3,13,5
[8.9],76.6,14,5
[10.2],83.5,15,5
[4.8],58.7,16,5
[17.5],113.9,17,5
[1.6],42.3,18,5
[19.4],120.7,19,5
[5.2],60.5,20,5
[2300.0],152.0,0,6
[1850.0],143.0,1,6
[3000.0],165.0,2,6
[2100.0],156.0,3,6
[2650.0],162.0,4,6
[1750.0],138.0,5,6
[2900.0],170.0,6,6
[2000.0],155.0,7,6
[2500.0],160.0,8,6
[1650.0],135.0,9,6
[2750.0],167.0,10,6
[1900.0],150.0,11,6
