input,target,trial_id,task_id
"[1.65, 150000.0, 20000.0, 25000.0]",740,0,0
"[2.82, 220000.0, 30000.0, 32000.0]",810,1,0
"[3.45, 90000.0, 15000.0, 18000.0]",670,2,0
"[4.98, 280000.0, 40000.0, 42000.0]",890,3,0
"[5.58, 120000.0, 25000.0, 28000.0]",750,4,0
"[6.72, 180000.0, 30000.0, 35000.0]",820,5,0
"[7.38, 60000.0, 10000.0, 14000.0]",620,6,0
"[8.91, 290000.0, 45000.0, 49000.0]",920,7,0
"[9.63, 140000.0, 28000.0, 32000.0]",780,8,0
"[10.49, 90000.0, 18000.0, 22000.0]",700,9,0
"[11.76, 190000.0, 35000.0, 39000.0]",860,10,0
"[12.42, 70000.0, 12000.0, 16000.0]",640,11,0
"[13.93, 310000.0, 50000.0, 54000.0]",940,12,0
"[14.54, 110000.0, 22000.0, 26000.0]",730,13,0
"[15.86, 210000.0, 38000.0, 42000.0]",900,14,0
"[16.59, 130000.0, 26000.0, 30000.0]",770,15,0
"[17.75, 200000.0, 33000.0, 37000.0]",850,16,0
"[18.47, 80000.0, 15000.0, 19000.0]",680,17,0
"[19.96, 330000.0, 52000.0, 57000.0]",960,18,0
"[20.51, 100000.0, 20000.0, 24000.0]",710,19,0
"[2345678.12, 0.43, 120000.0, 50000.0]",15000000.00,0,1
"[1200000.0, 0.25, 60000.0, 20000.0]",4500000.00,1,1
"[1876543.21, 0.38, 90000.0, 35000.0]",12000000.00,2,1
"[3000000.0, 0.5, 180000.0, 60000.0]",20000000.00,3,1
"[567890.12, 0.32, 45000.0, 18000.0]",9000000.00,4,1
"[9456789.0, 0.6, 300000.0, 100000.0]",35000000.00,5,1
"[1298765.43, 0.45, 75000.0, 25000.0]",15000000.00,6,1
"[6543210.98, 0.55, 240000.0, 80000.0]",28000000.00,7,1
"[1890123.45, 0.4, 99000.0, 33000.0]",13000000.00,8,1
"[3123456.78, 0.35, 51000.0, 19000.0]",7000000.00,9,1
"[8765432.1, 0.58, 270000.0, 90000.0]",30000000.00,10,1
"[5678901.23, 0.48, 63000.0, 21000.0]",11000000.00,11,1
"[3456789.01, 0.42, 81000.0, 28000.0]",14000000.00,12,1
"[2109876.54, 0.3, 39000.0, 15000.0]",6000000.00,13,1
"[7654321.09, 0.52, 330000.0, 110000.0]",26000000.00,14,1
"[6543211.11, 0.36, 42000.0, 17000.0]",8000000.00,15,1
"[1234567.89, 0.44, 69000.0, 23000.0]",12000000.00,16,1
"[9876543.21, 0.62, 360000.0, 120000.0]",38000000.00,17,1
"[4567890.12, 0.46, 54000.0, 20000.0]",10000000.00,18,1
"[1111111.11, 0.28, 30000.0, 12000.0]",5000000.00,19,1
"[45.21, 2.18, 1.93, 0.81]",76.45,0,2
"[38.56, 1.85, 2.41, 1.29]",74.18,1,2
"[62.19, 2.51, 1.11, 0.67]",81.29,2,2
"[29.38, 1.62, 2.76, 1.55]",70.93,3,2
"[54.91, 2.31, 1.67, 0.93]",79.42,4,2
"[41.85, 1.97, 2.03, 1.19]",75.61,5,2
"[67.42, 2.69, 0.97, 0.83]",83.15,6,2
"[35.29, 1.73, 2.54, 1.41]",72.19,7,2
"[50.13, 2.15, 1.85, 1.07]",77.38,8,2
"[58.67, 2.43, 1.39, 0.99]",80.25,9,2
"[44.11, 2.01, 2.19, 1.31]",76.02,10,2
"[31.46, 1.58, 2.92, 1.63]",71.49,11,2
"[64.75, 2.63, 1.21, 0.91]",82.47,12,2
"[48.52, 2.09, 1.97, 1.15]",78.13,13,2
"[56.39, 2.35, 1.51, 1.03]",79.81,14,2
"[39.92, 1.83, 2.29, 1.27]",74.55,15,2
"[60.23, 2.51, 1.65, 1.11]",80.69,16,2
"[33.19, 1.65, 2.71, 1.51]",72.69,17,2
"[51.85, 2.21, 1.89, 1.09]",78.55,18,2
"[42.67, 1.91, 2.13, 1.23]",75.83,19,2
"[3.41, 0.82, 85.21, 71.19]",82.45,0,3
"[1.95, 0.69, 78.53, 65.85]",73.21,1,3
"[4.28, 0.91, 89.15, 76.32]",85.93,2,3
"[2.19, 0.75, 81.39, 69.47]",78.13,3,3
"[1.47, 0.63, 74.91, 62.51]",70.49,4,3
"[3.83, 0.85, 87.25, 73.94]",83.52,5,3
"[2.58, 0.79, 83.62, 71.29]",80.25,6,3
"[1.89, 0.71, 80.35, 67.93]",75.81,7,3
"[4.69, 0.94, 91.39, 79.14]",88.53,8,3
"[2.82, 0.82, 85.93, 72.51]",82.29,9,3
"[1.23, 0.59, 72.49, 60.29]",68.51,10,3
"[3.15, 0.81, 84.21, 70.85]",79.53,11,3
"[2.35, 0.77, 82.15, 69.13]",77.29,12,3
"[1.67, 0.65, 76.53, 63.85]",72.29,13,3
"[4.51, 0.92, 90.53, 78.29]",87.29,14,3
"[2.99, 0.84, 86.85, 73.59]",83.85,15,3
"[1.51, 0.61, 74.29, 61.99]",69.99,16,3
"[3.69, 0.87, 88.53, 75.29]",84.99,17,3
"[2.43, 0.78, 83.85, 70.99]",80.69,18,3
"[1.91, 0.73, 81.15, 68.29]",76.39,19,3
"[8.32, 3.11, 2.85, 1.49]",72.39,0,5
"[4.95, 2.48, 1.92, 0.82]",37.21,1,5
"[10.29, 4.19, 3.41, 2.13]",143.91,2,5
"[6.51, 2.91, 2.17, 1.06]",54.31,3,5
"[7.18, 3.62, 2.51, 1.35]",63.92,4,5
"[9.43, 4.55, 3.85, 2.49]",165.11,5,5
"[5.89, 2.39, 1.79, 0.93]",43.19,6,5
"[11.01, 5.19, 4.21, 2.85]",233.51,7,5
"[8.59, 3.85, 2.93, 1.61]",82.39,8,5
"[6.23, 2.67, 2.05, 0.99]",48.11,9,5
"[9.85, 4.93, 4.09, 2.69]",205.91,10,5
"[7.72, 3.49, 2.65, 1.42]",71.51,11,5
"[10.93, 5.49, 4.59, 3.11]",281.91,12,5
