,participant,task,x,y,num_points,scale,source,type
0,1,1,-0.83333,-0.88862,6,1,1,train
1,1,1,-0.5,-0.11589,6,1,1,train
2,1,1,-0.16667,-0.51602,6,1,1,train
3,1,1,0.16667,-0.22197,6,1,1,train
4,1,1,0.5,0.49531,6,1,1,train
5,1,1,0.83333,0.91375,6,1,1,train
6,1,2,-0.8,0.81973,6,1,3,train
7,1,2,-0.48,0.035319,6,1,3,train
8,1,2,-0.16,-0.24784,6,1,3,train
9,1,2,0.16,-0.094203,6,1,3,train
10,1,2,0.48,-0.29338,6,1,3,train
11,1,2,0.8,-0.6827,6,1,3,train
12,1,3,-0.83333,0.55519,6,1,1,train
13,1,3,-0.5,0.75287,6,1,1,train
14,1,3,-0.16667,0.34462,6,1,1,train
15,1,3,0.16667,-0.35218,6,1,1,train
16,1,3,0.5,-0.5915,6,1,1,train
17,1,3,0.83333,-0.53972,6,1,1,train
18,1,4,-0.66667,1.0106,24,1,1,train
19,1,4,-0.60869,0.61005,24,1,1,train
20,1,4,-0.55073,0.6732,24,1,1,train
21,1,4,-0.49275,0.71547,24,1,1,train
22,1,4,-0.43478,0.57878,24,1,1,train
23,1,4,-0.37681,0.1545,24,1,1,train
24,1,4,-0.31884,0.74333,24,1,1,train
25,1,4,-0.26087,0.29652,24,1,1,train
26,1,4,-0.2029,0.095573,24,1,1,train
27,1,4,-0.14493,-0.16755,24,1,1,train
28,1,4,-0.086953,-0.57844,24,1,1,train
29,1,4,-0.028985,-0.080833,24,1,1,train
30,1,4,0.028985,-0.17193,24,1,1,train
31,1,4,0.086953,0.33877,24,1,1,train
32,1,4,0.14493,-0.068273,24,1,1,train
33,1,4,0.2029,-0.32889,24,1,1,train
34,1,4,0.26087,-0.33711,24,1,1,train
35,1,4,0.31884,-0.52439,24,1,1,train
36,1,4,0.37681,-0.38,24,1,1,train
37,1,4,0.43478,-0.8268,24,1,1,train
38,1,4,0.49275,-0.83827,24,1,1,train
39,1,4,0.55073,-0.46854,24,1,1,train
40,1,4,0.60869,-1.2431,24,1,1,train
41,1,4,0.66667,-0.86547,24,1,1,train
42,1,5,-0.8,0.39409,24,1,2,train
43,1,5,-0.73478,0.2541,24,1,2,train
44,1,5,-0.66956,0.72167,24,1,2,train
45,1,5,-0.60434,0.33636,24,1,2,train
46,1,5,-0.53914,-0.34684,24,1,2,train
47,1,5,-0.47392,-0.62413,24,1,2,train
48,1,5,-0.4087,-0.71627,24,1,2,train
49,1,5,-0.34348,0.059344,24,1,2,train
50,1,5,-0.27826,-0.64139,24,1,2,train
51,1,5,-0.21304,-0.30107,24,1,2,train
52,1,5,-0.14783,-0.57404,24,1,2,train
53,1,5,-0.082608,-0.86076,24,1,2,train
54,1,5,-0.017391,-0.86427,24,1,2,train
55,1,5,0.047826,-0.26982,24,1,2,train
56,1,5,0.11304,-0.55192,24,1,2,train
57,1,5,0.17826,-0.72447,24,1,2,train
58,1,5,0.24348,-0.52913,24,1,2,train
59,1,5,0.3087,-0.325,24,1,2,train
60,1,5,0.37392,-0.20937,24,1,2,train
61,1,5,0.43914,0.51956,24,1,2,train
62,1,5,0.50434,-0.0084778,24,1,2,train
63,1,5,0.56956,0.51922,24,1,2,train
64,1,5,0.63478,0.72533,24,1,2,train
65,1,5,0.7,0.49167,24,1,2,train
66,1,6,-0.3125,0.18506,6,2,1,train
67,1,6,-0.1875,0.25096,6,2,1,train
68,1,6,-0.0625,0.11487,6,2,1,train
69,1,6,0.0625,-0.11739,6,2,1,train
70,1,6,0.1875,-0.19717,6,2,1,train
71,1,6,0.3125,-0.17991,6,2,1,train
72,1,7,-0.83333,-0.11283,6,1,2,train
73,1,7,-0.5,-0.030058,6,1,2,train
74,1,7,-0.16667,-0.68467,6,1,2,train
75,1,7,0.16667,-0.4369,6,1,2,train
76,1,7,0.5,-0.54837,6,1,2,train
77,1,7,0.83333,0.7865,6,1,2,train
78,1,8,-0.36364,0.45295,6,2,3,train
79,1,8,-0.21818,0.080856,6,2,3,train
80,1,8,-0.072727,-0.053464,6,2,3,train
81,1,8,0.072727,0.019416,6,2,3,train
82,1,8,0.21818,-0.075067,6,2,3,train
83,1,8,0.36364,-0.25974,6,2,3,train
84,1,10,-0.4,-0.14446,24,2,2,train
85,1,10,-0.36522,0.060363,24,2,2,train
86,1,10,-0.33043,0.074774,24,2,2,train
87,1,10,-0.29565,0.12005,24,2,2,train
88,1,10,-0.26087,0.23173,24,2,2,train
89,1,10,-0.22609,0.2603,24,2,2,train
90,1,10,-0.1913,0.25291,24,2,2,train
91,1,10,-0.15652,0.32477,24,2,2,train
92,1,10,-0.12174,0.17376,24,2,2,train
93,1,10,-0.086957,0.20636,24,2,2,train
94,1,10,-0.052174,0.23996,24,2,2,train
95,1,10,-0.017391,0.35261,24,2,2,train
96,1,10,0.017391,0.2791,24,2,2,train
97,1,10,0.052174,0.25773,24,2,2,train
98,1,10,0.086957,0.25321,24,2,2,train
99,1,10,0.12174,0.21068,24,2,2,train
100,1,10,0.15652,0.17527,24,2,2,train
101,1,10,0.1913,0.16432,24,2,2,train
102,1,10,0.22609,0.050714,24,2,2,train
103,1,10,0.26087,0.042474,24,2,2,train
104,1,10,0.29565,-0.075371,24,2,2,train
105,1,10,0.33043,-0.33291,24,2,2,train
106,1,10,0.36522,-0.15363,24,2,2,train
107,1,10,0.4,-0.22174,24,2,2,train
108,1,11,-0.3125,-0.089538,6,2,2,train
109,1,11,-0.1875,0.21304,6,2,2,train
110,1,11,-0.0625,0.079426,6,2,2,train
111,1,11,0.0625,0.19089,6,2,2,train
112,1,11,0.1875,-0.040157,6,2,2,train
113,1,11,0.3125,-0.25647,6,2,2,train
114,1,12,-0.8,0.82882,24,1,3,train
115,1,12,-0.73044,0.82064,24,1,3,train
116,1,12,-0.66088,0.3866,24,1,3,train
117,1,12,-0.59132,0.44291,24,1,3,train
118,1,12,-0.52172,0.427,24,1,3,train
119,1,12,-0.45216,-0.195,24,1,3,train
120,1,12,-0.38261,-0.53393,24,1,3,train
121,1,12,-0.31304,-0.056618,24,1,3,train
122,1,12,-0.24348,-0.20279,24,1,3,train
123,1,12,-0.17391,-0.10065,24,1,3,train
124,1,12,-0.10435,-0.42142,24,1,3,train
125,1,12,-0.034783,-0.28289,24,1,3,train
126,1,12,0.034783,-0.53627,24,1,3,train
127,1,12,0.10435,-0.13985,24,1,3,train
128,1,12,0.17391,-0.40126,24,1,3,train
129,1,12,0.24348,-0.30738,24,1,3,train
130,1,12,0.31304,-0.054582,24,1,3,train
131,1,12,0.38261,-0.45669,24,1,3,train
132,1,12,0.45216,-0.25695,24,1,3,train
133,1,12,0.52172,-0.82988,24,1,3,train
134,1,12,0.59132,-0.35014,24,1,3,train
135,1,12,0.66088,-0.38565,24,1,3,train
136,1,12,0.73044,-0.72618,24,1,3,train
137,1,12,0.8,-0.64614,24,1,3,train
138,1,13,-0.3125,0.0047378,24,2,1,train
139,1,13,-0.28533,-0.24516,24,2,1,train
140,1,13,-0.25815,-0.21594,24,2,1,train
141,1,13,-0.23098,-0.30356,24,2,1,train
142,1,13,-0.2038,0.028592,24,2,1,train
143,1,13,-0.17663,0.10296,24,2,1,train
144,1,13,-0.14946,-0.073483,24,2,1,train
145,1,13,-0.12228,-0.086397,24,2,1,train
146,1,13,-0.095109,0.074483,24,2,1,train
147,1,13,-0.067934,-0.014251,24,2,1,train
148,1,13,-0.040759,-0.18673,24,2,1,train
149,1,13,-0.013587,-0.15978,24,2,1,train
150,1,13,0.013587,-0.056942,24,2,1,train
151,1,13,0.040759,0.014721,24,2,1,train
152,1,13,0.067934,0.10879,24,2,1,train
153,1,13,0.095109,0.074358,24,2,1,train
154,1,13,0.12228,0.1353,24,2,1,train
155,1,13,0.14946,0.030525,24,2,1,train
156,1,13,0.17663,0.14084,24,2,1,train
157,1,13,0.2038,0.15207,24,2,1,train
158,1,13,0.23098,0.094678,24,2,1,train
159,1,13,0.25815,0.34522,24,2,1,train
160,1,13,0.28533,0.36633,24,2,1,train
161,1,13,0.3125,0.15378,24,2,1,train
162,1,14,-0.33333,-0.33518,6,2,3,train
163,1,14,-0.2,-0.17481,6,2,3,train
164,1,14,-0.066667,-0.13308,6,2,3,train
165,1,14,0.066667,-0.24764,6,2,3,train
166,1,14,0.2,-0.0066167,6,2,3,train
167,1,14,0.33333,0.37017,6,2,3,train
168,1,15,-0.8,-0.316,24,1,2,train
169,1,15,-0.73044,0.13204,24,1,2,train
170,1,15,-0.66086,0.16357,24,1,2,train
171,1,15,-0.5913,0.26261,24,1,2,train
172,1,15,-0.52174,0.50691,24,1,2,train
173,1,15,-0.45218,0.56942,24,1,2,train
174,1,15,-0.3826,0.55324,24,1,2,train
175,1,15,-0.31304,0.71044,24,1,2,train
176,1,15,-0.24348,0.38009,24,1,2,train
177,1,15,-0.17391,0.45142,24,1,2,train
178,1,15,-0.10435,0.52492,24,1,2,train
179,1,15,-0.034782,0.77134,24,1,2,train
180,1,15,0.034782,0.61054,24,1,2,train
181,1,15,0.10435,0.56378,24,1,2,train
182,1,15,0.17391,0.55391,24,1,2,train
183,1,15,0.24348,0.46087,24,1,2,train
184,1,15,0.31304,0.38339,24,1,2,train
185,1,15,0.3826,0.35945,24,1,2,train
186,1,15,0.45218,0.11094,24,1,2,train
187,1,15,0.52174,0.092912,24,1,2,train
188,1,15,0.5913,-0.16487,24,1,2,train
189,1,15,0.66086,-0.72825,24,1,2,train
190,1,15,0.73044,-0.33606,24,1,2,train
191,1,15,0.8,-0.48506,24,1,2,train
192,1,16,-0.8,-0.79276,24,1,3,train
193,1,16,-0.73044,-0.46131,24,1,3,train
194,1,16,-0.66088,-0.42603,24,1,3,train
195,1,16,-0.59132,-0.29673,24,1,3,train
196,1,16,-0.52172,-0.29367,24,1,3,train
197,1,16,-0.45216,-0.12556,24,1,3,train
198,1,16,-0.38261,-0.15039,24,1,3,train
199,1,16,-0.31304,-0.38173,24,1,3,train
200,1,16,-0.24348,-0.23529,24,1,3,train
201,1,16,-0.17391,-0.0784,24,1,3,train
202,1,16,-0.10435,0.06613,24,1,3,train
203,1,16,-0.034783,-0.067627,24,1,3,train
204,1,16,0.034783,-0.073205,24,1,3,train
205,1,16,0.10435,-0.348,24,1,3,train
206,1,16,0.17391,-0.072059,24,1,3,train
207,1,16,0.24348,-0.033362,24,1,3,train
208,1,16,0.31304,0.13695,24,1,3,train
209,1,16,0.38261,-0.062508,24,1,3,train
210,1,16,0.45216,-0.22665,24,1,3,train
211,1,16,0.52172,0.14322,24,1,3,train
212,1,16,0.59132,0.12759,24,1,3,train
213,1,16,0.66088,0.11899,24,1,3,train
214,1,16,0.73044,0.73573,24,1,3,train
215,1,16,0.8,0.58903,24,1,3,train
216,1,17,-0.26667,0.33744,24,2,3,train
217,1,17,-0.24348,0.33428,24,2,3,train
218,1,17,-0.22029,0.16676,24,2,3,train
219,1,17,-0.19711,0.18849,24,2,3,train
220,1,17,-0.17391,0.18235,24,2,3,train
221,1,17,-0.15072,-0.057719,24,2,3,train
222,1,17,-0.12754,-0.18853,24,2,3,train
223,1,17,-0.10435,-0.0043088,24,2,3,train
224,1,17,-0.08116,-0.060726,24,2,3,train
225,1,17,-0.057971,-0.021305,24,2,3,train
226,1,17,-0.034783,-0.14511,24,2,3,train
227,1,17,-0.011594,-0.09164,24,2,3,train
228,1,17,0.011594,-0.18944,24,2,3,train
229,1,17,0.034783,-0.036435,24,2,3,train
230,1,17,0.057971,-0.13733,24,2,3,train
231,1,17,0.08116,-0.10109,24,2,3,train
232,1,17,0.10435,-0.0035228,24,2,3,train
233,1,17,0.12754,-0.15872,24,2,3,train
234,1,17,0.15072,-0.081632,24,2,3,train
235,1,17,0.17391,-0.30276,24,2,3,train
236,1,17,0.19711,-0.1176,24,2,3,train
237,1,17,0.22029,-0.1313,24,2,3,train
238,1,17,0.24348,-0.26274,24,2,3,train
239,1,17,0.26667,-0.23184,24,2,3,train
240,1,18,-0.26667,-0.45126,24,2,3,train
241,1,18,-0.24348,-0.26259,24,2,3,train
242,1,18,-0.22029,-0.24251,24,2,3,train
243,1,18,-0.19711,-0.16891,24,2,3,train
244,1,18,-0.17391,-0.16717,24,2,3,train
245,1,18,-0.15072,-0.071472,24,2,3,train
246,1,18,-0.12754,-0.085609,24,2,3,train
247,1,18,-0.10435,-0.21729,24,2,3,train
248,1,18,-0.08116,-0.13394,24,2,3,train
249,1,18,-0.057971,-0.044628,24,2,3,train
250,1,18,-0.034783,0.037643,24,2,3,train
251,1,18,-0.011594,-0.038495,24,2,3,train
252,1,18,0.011594,-0.041671,24,2,3,train
253,1,18,0.034783,-0.19809,24,2,3,train
254,1,18,0.057971,-0.041018,24,2,3,train
255,1,18,0.08116,-0.018991,24,2,3,train
256,1,18,0.10435,0.077957,24,2,3,train
257,1,18,0.12754,-0.035582,24,2,3,train
258,1,18,0.15072,-0.12902,24,2,3,train
259,1,18,0.17391,0.081523,24,2,3,train
260,1,18,0.19711,0.072628,24,2,3,train
261,1,18,0.22029,0.067735,24,2,3,train
262,1,18,0.24348,0.4188,24,2,3,train
263,1,18,0.26667,0.33529,24,2,3,train
264,1,19,-0.28571,0.43311,24,2,1,train
265,1,19,-0.26087,0.26145,24,2,1,train
266,1,19,-0.23603,0.28851,24,2,1,train
267,1,19,-0.21118,0.30663,24,2,1,train
268,1,19,-0.18633,0.24805,24,2,1,train
269,1,19,-0.16149,0.066214,24,2,1,train
270,1,19,-0.13665,0.31857,24,2,1,train
271,1,19,-0.1118,0.12708,24,2,1,train
272,1,19,-0.086957,0.04096,24,2,1,train
273,1,19,-0.062111,-0.071806,24,2,1,train
274,1,19,-0.037266,-0.2479,24,2,1,train
275,1,19,-0.012422,-0.034643,24,2,1,train
276,1,19,0.012422,-0.073683,24,2,1,train
277,1,19,0.037266,0.14519,24,2,1,train
278,1,19,0.062111,-0.02926,24,2,1,train
279,1,19,0.086957,-0.14095,24,2,1,train
280,1,19,0.1118,-0.14448,24,2,1,train
281,1,19,0.13665,-0.22474,24,2,1,train
282,1,19,0.16149,-0.16286,24,2,1,train
283,1,19,0.18633,-0.35434,24,2,1,train
284,1,19,0.21118,-0.35926,24,2,1,train
285,1,19,0.23603,-0.2008,24,2,1,train
286,1,19,0.26087,-0.53274,24,2,1,train
287,1,19,0.28571,-0.37091,24,2,1,train
288,1,20,-0.83333,0.01066,24,1,1,train
289,1,20,-0.76087,-0.55162,24,1,1,train
290,1,20,-0.68841,-0.48587,24,1,1,train
291,1,20,-0.61594,-0.683,24,1,1,train
292,1,20,-0.54348,0.064331,24,1,1,train
293,1,20,-0.47102,0.23165,24,1,1,train
294,1,20,-0.39855,-0.16534,24,1,1,train
295,1,20,-0.32608,-0.19439,24,1,1,train
296,1,20,-0.25363,0.16759,24,1,1,train
297,1,20,-0.18116,-0.032065,24,1,1,train
298,1,20,-0.10869,-0.42015,24,1,1,train
299,1,20,-0.036232,-0.35949,24,1,1,train
300,1,20,0.036232,-0.12812,24,1,1,train
301,1,20,0.10869,0.033123,24,1,1,train
302,1,20,0.18116,0.24477,24,1,1,train
303,1,20,0.25363,0.16731,24,1,1,train
304,1,20,0.32608,0.30443,24,1,1,train
305,1,20,0.39855,0.068681,24,1,1,train
306,1,20,0.47102,0.31689,24,1,1,train
307,1,20,0.54348,0.34215,24,1,1,train
308,1,20,0.61594,0.21302,24,1,1,train
309,1,20,0.68841,0.77675,24,1,1,train
310,1,20,0.76087,0.82425,24,1,1,train
311,1,20,0.83333,0.346,24,1,1,train
312,1,22,-0.83333,-0.24755,6,1,2,train
313,1,22,-0.5,0.589,6,1,2,train
314,1,22,-0.16667,0.21959,6,1,2,train
315,1,22,0.16667,0.52776,6,1,2,train
316,1,22,0.5,-0.11102,6,1,2,train
317,1,22,0.83333,-0.70906,6,1,2,train
318,1,23,-0.19231,-0.25389,6,2,1,train
319,1,23,-0.11538,-0.033113,6,2,1,train
320,1,23,-0.038462,-0.14744,6,2,1,train
321,1,23,0.038462,-0.06342,6,2,1,train
322,1,23,0.11538,0.14152,6,2,1,train
323,1,23,0.19231,0.26107,6,2,1,train
324,1,24,-0.5,0.17734,24,2,2,train
325,1,24,-0.45924,0.11434,24,2,2,train
326,1,24,-0.41847,0.32475,24,2,2,train
327,1,24,-0.37771,0.15136,24,2,2,train
328,1,24,-0.33696,-0.15608,24,2,2,train
329,1,24,-0.2962,-0.28086,24,2,2,train
330,1,24,-0.25544,-0.32232,24,2,2,train
331,1,24,-0.21468,0.026705,24,2,2,train
332,1,24,-0.17391,-0.28863,24,2,2,train
333,1,24,-0.13315,-0.13548,24,2,2,train
334,1,24,-0.092391,-0.25832,24,2,2,train
335,1,24,-0.05163,-0.38734,24,2,2,train
336,1,24,-0.01087,-0.38892,24,2,2,train
337,1,24,0.029891,-0.12142,24,2,2,train
338,1,24,0.070652,-0.24837,24,2,2,train
339,1,24,0.11141,-0.32601,24,2,2,train
340,1,24,0.15218,-0.23811,24,2,2,train
341,1,24,0.19294,-0.14625,24,2,2,train
342,1,24,0.2337,-0.094215,24,2,2,train
343,1,24,0.27446,0.2338,24,2,2,train
344,1,24,0.31521,-0.003815,24,2,2,train
345,1,24,0.35597,0.23365,24,2,2,train
346,1,24,0.39674,0.3264,24,2,2,train
347,1,24,0.4375,0.22125,24,2,2,train
348,1,25,-0.66667,-0.67035,6,1,3,train
349,1,25,-0.4,-0.34961,6,1,3,train
350,1,25,-0.13333,-0.26615,6,1,3,train
351,1,25,0.13333,-0.49528,6,1,3,train
352,1,25,0.4,-0.013233,6,1,3,train
353,1,25,0.66667,0.74033,6,1,3,train
354,1,26,-0.3125,-0.0093158,6,2,2,train
355,1,26,-0.1875,0.016824,6,2,2,train
356,1,26,-0.0625,-0.18989,6,2,2,train
357,1,26,0.0625,-0.11165,6,2,2,train
358,1,26,0.1875,-0.14685,6,2,2,train
359,1,26,0.3125,0.27468,6,2,2,train
360,2,1,-0.83333,-0.88862,6,1,1,train
361,2,1,-0.5,-0.11589,6,1,1,train
362,2,1,-0.16667,-0.51602,6,1,1,train
363,2,1,0.16667,-0.22197,6,1,1,train
364,2,1,0.5,0.49531,6,1,1,train
365,2,1,0.83333,0.91375,6,1,1,train
366,2,2,-0.8,0.81973,6,1,3,train
367,2,2,-0.48,0.035319,6,1,3,train
368,2,2,-0.16,-0.24784,6,1,3,train
369,2,2,0.16,-0.094203,6,1,3,train
370,2,2,0.48,-0.29338,6,1,3,train
371,2,2,0.8,-0.6827,6,1,3,train
372,2,3,-0.83333,0.55519,6,1,1,train
373,2,3,-0.5,0.75287,6,1,1,train
374,2,3,-0.16667,0.34462,6,1,1,train
375,2,3,0.16667,-0.35218,6,1,1,train
376,2,3,0.5,-0.5915,6,1,1,train
377,2,3,0.83333,-0.53972,6,1,1,train
378,2,4,-0.66667,1.0106,24,1,1,train
379,2,4,-0.60869,0.61005,24,1,1,train
380,2,4,-0.55073,0.6732,24,1,1,train
381,2,4,-0.49275,0.71547,24,1,1,train
382,2,4,-0.43478,0.57878,24,1,1,train
383,2,4,-0.37681,0.1545,24,1,1,train
384,2,4,-0.31884,0.74333,24,1,1,train
385,2,4,-0.26087,0.29652,24,1,1,train
386,2,4,-0.2029,0.095573,24,1,1,train
387,2,4,-0.14493,-0.16755,24,1,1,train
388,2,4,-0.086953,-0.57844,24,1,1,train
389,2,4,-0.028985,-0.080833,24,1,1,train
390,2,4,0.028985,-0.17193,24,1,1,train
391,2,4,0.086953,0.33877,24,1,1,train
392,2,4,0.14493,-0.068273,24,1,1,train
393,2,4,0.2029,-0.32889,24,1,1,train
394,2,4,0.26087,-0.33711,24,1,1,train
395,2,4,0.31884,-0.52439,24,1,1,train
396,2,4,0.37681,-0.38,24,1,1,train
397,2,4,0.43478,-0.8268,24,1,1,train
398,2,4,0.49275,-0.83827,24,1,1,train
399,2,4,0.55073,-0.46854,24,1,1,train
400,2,4,0.60869,-1.2431,24,1,1,train
401,2,4,0.66667,-0.86547,24,1,1,train
402,2,5,-0.8,0.39409,24,1,2,train
403,2,5,-0.73478,0.2541,24,1,2,train
404,2,5,-0.66956,0.72167,24,1,2,train
405,2,5,-0.60434,0.33636,24,1,2,train
406,2,5,-0.53914,-0.34684,24,1,2,train
407,2,5,-0.47392,-0.62413,24,1,2,train
408,2,5,-0.4087,-0.71627,24,1,2,train
409,2,5,-0.34348,0.059344,24,1,2,train
410,2,5,-0.27826,-0.64139,24,1,2,train
411,2,5,-0.21304,-0.30107,24,1,2,train
412,2,5,-0.14783,-0.57404,24,1,2,train
413,2,5,-0.082608,-0.86076,24,1,2,train
414,2,5,-0.017391,-0.86427,24,1,2,train
415,2,5,0.047826,-0.26982,24,1,2,train
416,2,5,0.11304,-0.55192,24,1,2,train
417,2,5,0.17826,-0.72447,24,1,2,train
418,2,5,0.24348,-0.52913,24,1,2,train
419,2,5,0.3087,-0.325,24,1,2,train
420,2,5,0.37392,-0.20937,24,1,2,train
421,2,5,0.43914,0.51956,24,1,2,train
422,2,5,0.50434,-0.0084778,24,1,2,train
423,2,5,0.56956,0.51922,24,1,2,train
424,2,5,0.63478,0.72533,24,1,2,train
425,2,5,0.7,0.49167,24,1,2,train
426,2,6,-0.3125,0.18506,6,2,1,train
427,2,6,-0.1875,0.25096,6,2,1,train
428,2,6,-0.0625,0.11487,6,2,1,train
429,2,6,0.0625,-0.11739,6,2,1,train
430,2,6,0.1875,-0.19717,6,2,1,train
431,2,6,0.3125,-0.17991,6,2,1,train
432,2,7,-0.83333,-0.11283,6,1,2,train
433,2,7,-0.5,-0.030058,6,1,2,train
434,2,7,-0.16667,-0.68467,6,1,2,train
435,2,7,0.16667,-0.4369,6,1,2,train
436,2,7,0.5,-0.54837,6,1,2,train
437,2,7,0.83333,0.7865,6,1,2,train
438,2,8,-0.36364,0.45295,6,2,3,train
439,2,8,-0.21818,0.080856,6,2,3,train
440,2,8,-0.072727,-0.053464,6,2,3,train
441,2,8,0.072727,0.019416,6,2,3,train
