,feature_names,target_names,task_id
0,"('Movieruntime',)",Boxofficegross,0
1,"('Ingredientcost',)",Mealprice,1
2,"('Materialdensity',)",Objectweight,2
3,"('Wheeldiameter',)",Vehicletopspeed,3
4,"('Batterycapacity',)",Deviceusagetime,4
5,"('Rainfall',)",Cropyield,5
6,"('Calorieintake',)",Bodyweight,6
7,"('Studytime',)",Testscore,7
8,"('Constructioncost',)",Buildingvalue,8
9,"('Enginepower',)",Accelerationtime,9
10,"('Threadcount',)",Fabricsoftness,10
11,"('Processorspeed',)",Softwareruntime,11
12,"('Internetspeed',)",Downloadtime,12
13,"('Colorintensity',)",Moodrating,13
14,"('Medicationdose',)",Effectivenessrating,14
15,"('Itemheight',)",Shippingcost,15
16,"('Ingredientpurity',)",Productquality,16
17,"('Interestrate',)",Investmentreturn,17
18,"('Problemcomplexity',)",Solutiontime,18
19,"('Songlength',)",Numberofdownloads,19
20,"('Pagelength',)",Readingtime,20
21,"('Populationsize',)",Taxrevenue,21
22,"('Cloudcoverage',)",Likelihoodofrain,22
23,"('Noiselevel',)",Stresslevel,23
24,"('Practicetime',)",Skilllevel,24
25,"('Numberofemployees',)",Companyrevenue,25
26,"('Age',)",Height,26
27,"('Practiceproblemsdone',)",Testscore,27
28,"('Barrelprice',)",Gasolineprice,28
29,"('Inflationrate',)",Costofliving,29
30,"('Numberofsocialties',)",Happinessrating,30
31,"('FATcontent',)",Calorielevel,31
32,"('Numberofreps',)",Musclesize,32
33,"('Lightintensity',)",Plantgrowth,33
34,"('Sugarcontent',)",Foodtastiness,34
35,"('Drugtoxicity',)",Lethaldose,35
36,"('Scandalseverity',)",Reputationdamage,36
37,"('Numberofconqueringbattles',)",Empiresize,37
38,"('Earthquakemagnitude',)",Structuraldamage,38
39,"('Gestationperiod',)",Offspringsizeatbirth,39
40,"('Altitude',)",Atmosphericpressure,40
41,"('Proteinintake',)",Musclegain,41
42,"('Caliber',)",Bulletpenetration,42
43,"('Enginetemperature',)",Riskofdamage,43
44,"('Bodyfat',)",Riskofdiabetes,44
45,"('Age',)",Declineincognitiveability,45
46,"('Timespentnetworking',)",Numberofjoboffersreceived,46
47,"('Tuitioncost',)",Universityranking,47
48,"('Ageofphone',)",Phonetrade,48
49,"('Numberofdebatepointsmade',)",Probabilityofwinningdebate,49
50,"('Carweight',)",Fuelefficiency,50
51,"('Songcomplexity',)",Requiredpracticetimetolearnsong,51
52,"('Windspeed',)",Electricitygeneratedbywindturbine,52
53,"('IQ',)",Likelihoodofacademicsuccess,53
54,"('Crimerate',)",Propertyvaluedrop,54
55,"('Ambienttemperature',)",Airconditionerenergyuse,55
56,"('Airtime',)",NumberofviewsforYouTubevideo,56
57,"('Numberofmarketingemailssent',)",Numberofsalesmade,57
58,"('Numberofflightsperyear',)",Carbonfootprint,58
59,"('UVrayexposure',)",Riskofskincancer,59
60,"('Commutedistance',)",Stresslevel,60
61,"('Yearssmoking',)",Chanceofdevelopinglungdisease,61
62,"('Creditscore',)",Loaninterestrate,62
63,"('Audiencesize',)",Speakeranxietylevel,63
64,"('Numberofcombattours',)",RiskofPTSD,64
65,"('Numberofplants',)",Oxygenproduction,65
66,"('Tiretreaddepth',)",Riskofhydroplaning,66
67,"('Bloodsugarlevel',)",Riskofnervedamage,67
68,"('EQscore',)",Qualityofrelationships,68
69,"('Companyprofits',)",Executivebonuses,69
70,"('Sleepamount',)",Taskperformance,70
71,"('Dopaminelevel',)",Motivation,71
72,"('Numberofnewsarticlespublished',)",Voteropinion,72
